Number,Title,Type,Culture,set,group,Twilight,STR,HP,RES,Signate,Site,Game text,Key Word 1,Key Word 2,Key Word 3,,Link
10U117,Base of Mindolluin,Site,Site,10,,0,,,,,3K,"Sanctuary. Fellowship: If you cannot spot 2 threats, add a threat to play a fortification from your draw deck. 
",,,,,https://lotrtcgwiki.com/wiki/lotr10117
10U118,Pelennor Prairie,Site,Site,10,,3,,,,,4K,"Plains. Shadow: Exert a minion and remove a burden to make the Free Peoples player discard one of his or her conditions. 
",,,,,https://lotrtcgwiki.com/wiki/lotr10118
10U119,Steward's Tomb,Site,Site,10,,8,,,,,5K,"Wounds cannot be prevented or healed. Burdens cannot be removed. 
",,,,,https://lotrtcgwiki.com/wiki/lotr10119
10U12,•Glimpse of Fate,Condition • Support Area,Elven,10,,0,,,,,,"To play, spot 2 Elves. Each time you lose initiative, make a minion strength -4 until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr10012
10U120,Watchers of Cirith Ungol,Site,Site,10,,8,,,,,8K,"Skirmish: Spot your [Wraith] Orc and remove 2 threats to make that [Wraith] Orc strength +3. 
",,,,,https://lotrtcgwiki.com/wiki/lotr10120
10U15,•Brooding on Tomorrow,Condition • Support Area,Gandalf,10,,1,,,,,,"Each time you lose initiative (except during the fellowship phase), you may spot a [Gandalf] companion to choose an opponent who must discard one of his or her conditions.
",,,,,https://lotrtcgwiki.com/wiki/lotr10015
10U2,•Memories of Darkness,Condition • Support Area,Dwarven,10,,1,,,,,,"To play, spot a Dwarf. Each time you lose initiative (except during the fellowship phase), you may play a [Dwarven] condition from hand or from your discard pile.
",,,,,https://lotrtcgwiki.com/wiki/lotr10002
10U20,Final Strike,Condition • Support Area,Gollum,10,,1,,,,,,"Any site 9 is a Mountain. Shadow: If the fellowship is at any site 9, play Gollum from your discard pile. Response: If the Free Peoples player uses a maneuver or archery special ability, exert Gollum to cancel its effect.
",,,,,https://lotrtcgwiki.com/wiki/lotr10020
10U22,Reclaim the Precious,Condition • Support Area,Gollum,10,,1,,,,,,"Assignment: Assign Gollum to a companion bearing an artifact. The Free Peoples player may add a burden to prevent this and assign Gollum. Regroup: Exert Gollum twice to discard a possession. Discard this condition.
",,,,,https://lotrtcgwiki.com/wiki/lotr10022
10U26,•Cursed of Erech,Companion • Wraith,Gondor,10,,3,7,3,6,,,"Enduring. To play, add a threat. When you play Cursed of Erech, exert him twice. At the start of the maneuver phase, you may exert another [Gondor] Wraith to make Cursed of Erech defender +1 until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr10026
10U32,Fifth Level,Condition • Support Area,Gondor,10,,1,,,,,,"Fortification. Bearer is strength -1 for each Fortification you can spot. Maneuver: Exert 2 [Gondor] Men or spot 3 knights to transfer this condition to a minion.
",,,,,https://lotrtcgwiki.com/wiki/lotr10032
10U33,•Hardy Garrison,Condition • Support Area,Gondor,10,,2,,,,,,"To play, spot 2 [Gondor] Men. Each time you lose initiative, you may wound a minion.
",,,,,https://lotrtcgwiki.com/wiki/lotr10033
10U35,Suffered Much Loss,Condition • Support Area,Isengard,10,227,2,,,,,,"Each site on the adventure path is a battleground. While you have initiative, each Uruk-Hai is strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr10035
10U39,Corsair Ruffian,Minion • Man,Raider,10,,4,9,2,,,,"Corsair. When you play this minion, you may spot another corsair and discard the top card of the Free Peoples player&#039;s draw deck to add 2 [Raider] tokens to a card that already has a [Raider] token on it.
",,,,,https://lotrtcgwiki.com/wiki/lotr10039
10U4,"•Aegnor, Elven Escort",Companion • Elf,Elven,10,,2,6,3,6,,,"Skirmish: Exert Aegnor to make a minion skirmishing an unbound [Elven] companion strength -1 for each archer you spot.
",,,,,https://lotrtcgwiki.com/wiki/lotr10004
10U43,Field of the Fallen,Condition • Support Area,Raider,10,,1,,,,,,"To play, spot a [Raider] Man. While there is a character in the dead pile, each companion of the same culture as that character is strength -1. Skirmish: Exert your Southron to make him strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr10043
10U44,High Vantage,Event • Shadow,Raider,10,,1,,,,,,"Until the end of the assignment phase, each time a Southron is about to take a wound, prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr10044
10U47,Rallying Call,Condition • Support Area,Raider,10,,0,,,,,,"To play, spot a [Raider] Man. Threats cannot be removed by Free Peoples cards. Shadow: Remove (1) and play a Southron to add a threat.
",,,,,https://lotrtcgwiki.com/wiki/lotr10047
10U5,"•Arwen, Echo of Luthien",Companion • Elf,Elven,10,,2,6,3,6,Aragorn,,"Skirmish: Discard a card from hand to discard the bottom card of your draw deck. If the bottom card was an [Elven] card, each minion skirmishing Arwen is strength -3.
",,,,,https://lotrtcgwiki.com/wiki/lotr10005
10U53,Black Marshal,Condition • Support Area,Wraith,10,,1,,,,,,"Shadow: Exert a Nazgul and play a [Wraith] minion to add (1) (or (2) if you have initiative).
",,,,,https://lotrtcgwiki.com/wiki/lotr10053
10U54,Cirith Ungol Scavenger,Minion • Orc,Wraith,10,,3,8,2,,,,"Each time this minion wins a skirmish, you may exert it to discard a possession borne by a character this minion is skirmishing.
",,,,,https://lotrtcgwiki.com/wiki/lotr10054
10U57,Cirith Ungol Watchman,Minion • Orc,Wraith,10,,4,9,2,,,,"Each companion skirmishing this minion loses all damage and strength bonuses from possessions.
",,,,,https://lotrtcgwiki.com/wiki/lotr10057
10U69,"•Ulaire Lemenya, Thrall of the One",Minion • Nazgul,Wraith,10,,4,9,2,,,,"Enduring. Fierce. Shadow cards cannot exert Ulaire Lemenya during a skirmish phase. Skirmish: Heal Ulaire Lemenya to wound up to 3 other [Wraith] minions.
",,,,,https://lotrtcgwiki.com/wiki/lotr10069
10U70,"•Ulaire Nelya, Thrall of the One",Minion • Nazgul,Wraith,10,,5,10,3,,,,"Enduring. Fierce. Shadow cards cannot exert Ulaire Nelya during a skirmish phase. Skirmish: Heal Ulaire Nelya to add (1) for each burden.
",,,,,https://lotrtcgwiki.com/wiki/lotr10070
10U73,•Fell Deeds Awake,Condition • Support Area,Rohan,10,92,1,,,,,,"To play, spot a [Rohan] Man. Each time you lose initiative, you may liberate a site.
",,,,,https://lotrtcgwiki.com/wiki/lotr10073
10U73,•Fell Deeds Awake,Condition • Support Area,Rohan,10,93,1,,,,,,"To play, spot a [Rohan] Man. Each time you lose initiative, you may liberate a site.
",,,,,https://lotrtcgwiki.com/wiki/lotr10073
10U74,Unyielding,Event • Response,Rohan,10,91,1,,,,,,"If your [Rohan] Man wins a skirmish, discard a [Rohan] possession to wound a minion or to liberate a site.
",,,,,https://lotrtcgwiki.com/wiki/lotr10074
10U78,Advance Scout,Minion • Orc,Sauron,10,,2,7,2,,,,"Shadow: Exert or discard this minion to make each [Sauron] minion you spot roaming until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr10078
10U82,Cirith Ungol Patroller,Minion • Uruk-Hai,Sauron,10,,3,8,2,,,,"Damage +1. While you can spot 3 possessions, this minion is fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr10082
10U83,Cirith Ungol Sentinel,Minion • Uruk-Hai,Sauron,10,,2,7,2,,,,"Damage +1. If you can spot another [Sauron] Uruk-hai, this minion is twilight cost -1 for each possession you can spot.
",,,,,https://lotrtcgwiki.com/wiki/lotr10083
10U92,Mordor Pillager,Minion • Orc,Sauron,10,,3,9,2,,,,"Besieger. Fierce. Shadow: Exert this minion and spot another [Sauron] minion to control a site. If you cannot spot 3 Free Peoples cultures, the Free Peoples player may exert a companion to prevent this.
",,,,,https://lotrtcgwiki.com/wiki/lotr10092
10U93,Mordor Wretch,Minion • Orc,Sauron,10,,3,9,3,,,,"Shadow: Spot 4 Free Peoples cultures and exert another [Sauron] minion twice to add (3) and draw a card.
",,,,,https://lotrtcgwiki.com/wiki/lotr10093
10U96,•Rank and File,Condition • Support Area,Sauron,10,,1,,,,,,"Each time a roaming [Sauron] minion takes a wound, you may add a [Sauron] token here. Regroup: Exert an Uruk-hai or discard a [Sauron] minion to add a [Sauron] token here. Skirmish: Remove 2 [Sauron] tokens from here to make a [Sauron] minion strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr10096
10U97,The Ring is Mine!,Event • Response,Sauron,10,,0,,,,,,"If a burden is added, spot a [Sauron] minion to add an additional burden.
",,,,,https://lotrtcgwiki.com/wiki/lotr10097
10U98,Ruinous Hail,Event • Response,Sauron,10,,0,,,,,,"If the Free Peoples player plays a possession, discard a [Sauron] minion from hand to prevent him or her from playing any more cards until the end of this phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr10098
11C101,Swarthy Bree-lander,Minion • Man,Men,11,,3,8,2,,,,"At the start of the maneuver phase, you may remove (2) to transfer a condition borne by a character to another eligible bearer.
",,,,,https://lotrtcgwiki.com/wiki/lotr11101
11C102,Throng of Harad,Minion • Man,Men,11,,4,11,3,,,,"Each time this minion is assigned to skirmish a character who has resistance 5 or less, it is fierce until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr11102
11C103,Warrior of Dunland,Minion • Man,Men,11,,2,8,1,,,,"Ambush (1). While this minion is at a plains site, it gains an additional ambush (1).
",,,,,https://lotrtcgwiki.com/wiki/lotr11103
11C107,Barbarous Orc,Minion • Orc,Orc,11,,3,7,2,,,,"Skirmish: Exert another [Orc] minion to make this minion strength +2 (or +4 if this minion is skirmishing a companion who has resistance 4 or less).
",,,,,https://lotrtcgwiki.com/wiki/lotr11107
11C111,Champion Orc,Minion • Orc,Orc,11,,5,13,2,,,,"Toil 2. (For each [Orc] character you exert when playing this, its twilight cost is -2.)
",,,,,https://lotrtcgwiki.com/wiki/lotr11111
11C113,Cutthroat Orc,Minion • Orc,Orc,11,,3,9,2,,,,"This minion is strength +1 for each companion who has resistance 5 or less.
",,,,,https://lotrtcgwiki.com/wiki/lotr11113
11C120,Entrapping Orc,Minion • Orc,Orc,11,,3,9,2,,,,"Assignment: Assign this minion to an unbound companion who has resistance 4 or less.
",,,,,https://lotrtcgwiki.com/wiki/lotr11120
11C121,Foraging Orc,Minion • Orc,Orc,11,,3,9,2,,,,"When you play this minion, you may spot another [Orc] minion and a companion who has resistance 3 or less to add (2).
",,,,,https://lotrtcgwiki.com/wiki/lotr11121
11C122,Frenzied Orc,Minion • Orc,Orc,11,,4,8,3,,,,"While this minion is at an underground site, each character skirmishing it is strength -2. While you can spot 6 companions, each character skirmishing an [Orc] minion is strength -2.
",,,,,https://lotrtcgwiki.com/wiki/lotr11122
11C125,Isengard Underling,Minion • Orc,Orc,11,,3,7,2,,,,"When you play this minion, you may take an [Orc] event from your discard pile into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11125
11C127,Mocking Goblin,Minion • Orc,Orc,11,,5,12,3,,,,"Each time this minion wins a skirmish, add a burden unless the Free Peoples player discards a Free Peoples event from hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11127
11C128,Mordor Scimitar,Possession • Hand Weapon,Orc,11,,2,+3,,,,,"Bearer must be an [Orc] minion. Each time bearer is assigned to skirmish a companion, you may exert that companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr11128
11C129,Mountain Orc,Minion • Orc,Orc,11,,3,9,2,,,,"Each time this minion is assigned to skirmish a companion who has resistance 5 or less, exert that companion.
",,,,,https://lotrtcgwiki.com/wiki/lotr11129
11C13,On Guard,Event • Response,Dwarven,11,,1,,,,,,"If a Dwarf who has resistance 3 or more is about to take a wound, prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr11013
11C131,Orc Miscreant,Minion • Orc,Orc,11,,3,7,3,,,,"To play, spot an [Orc] minion. Regroup: Exert this minion to add a burden.
",,,,,https://lotrtcgwiki.com/wiki/lotr11131
11C132,Orkish Smith,Minion • Orc,Orc,11,,2,6,1,,,,"When you play this minion, you may take an [Orc] condition from your discard pile into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11132
11C136,Prowling Orc,Minion • Orc,Orc,11,,3,6,2,,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Skirmish: Remove (2) to make an [Orc] minion strength +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr11136
11C140,Strength in Shadows,Event • Skirmish,Orc,11,,1,,,,,,"Make an [Orc] minion strength +2 (or +4 if it is a lurker).
",,,,,https://lotrtcgwiki.com/wiki/lotr11140
11C148,"•Hrothlac, Man of Rohan",Companion • Man,Rohan,11,56,2,5,3,6,,,"Response: If a [Rohan] companion who has resistance 4 or more is about to take a wound, exert Hrothlac to prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr11148
11C155,Riding Like the Wind,Condition • Support Area,Rohan,11,84,1,,,,,,"To play, exert a [Rohan] Man. While you can spot 2 [Rohan] mounts, the move limit is +1. Each of your companions that is not mounted is strength -1.
",,,,,https://lotrtcgwiki.com/wiki/lotr11155
11C157,•Rush of Steeds,Condition • Support Area,Rohan,11,60,3,,,,,,"To play, spot a [Rohan] Man. Each time a Shadow condition is played, you may exert a minion. Response: If a minion exerts as a cost of its special ability, discard this condition to prevent that and return that minion to its owner&#039;s hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11157
11C162,Crouched Down,Event • Skirmish,Shire,11,,2,,,,,,"Stealth. Cancel a skirmish involving a Hobbit and a minion whose strength is lower than that Hobbit&#039;s resistance.
",,,,,https://lotrtcgwiki.com/wiki/lotr11162
11C167,Incognito,Event • Skirmish,Shire,11,,1,,,,,,"Stealth. If the fellowship is at a dwelling site, exert 2 Hobbits to cancel a skirmish involving a Hobbit. At any other site, exert 2 Hobbits to make a Hobbit strength +3.
",,,,,https://lotrtcgwiki.com/wiki/lotr11167
11C168,"•Merry, Loyal Companion",Companion • Hobbit,Shire,,38,1,3,4,9,,,"For each other unbound companion assigned to a skirmish, Merry is strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr11168
11C169,"The More, The Merrier",Event • Fellowship,Shire,11,,6,,,,,,"Toil 2. (For each [Shire] character you exert when playing this, its twilight cost is -2.) Spot 2 [Shire] companions to remove 2 burdens.
",,,,,https://lotrtcgwiki.com/wiki/lotr11169
11C19,Farewell to Lorien,Event • Fellowship,Elven,11,,3,,,,,,"Spot an Elf to heal each companion who has resistance 5 or more.
",,,,,https://lotrtcgwiki.com/wiki/lotr11019
11C192,Isengard Sword,Possession • Hand Weapon,Uruk-hai,11,,1,,,,,,"Bearer must be an [Uruk-hai] minion. Each character skirmishing bearer is strength -2.
",,,,,https://lotrtcgwiki.com/wiki/lotr11192
11C195,Murderous Uruk,Minion • Uruk-Hai,Uruk-hai,11,,3,8,2,,,,"Damage +1. Muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.)
",,,,,https://lotrtcgwiki.com/wiki/lotr11195
11C196,Our Foes Are Weak,Condition,Uruk-hai,11,,2,,,-3,,,"To play, spot an [Uruk-hai] minion. Bearer must be an unbound companion. Limit 1 per bearer.
",,,,,https://lotrtcgwiki.com/wiki/lotr11196
11C198,Patrol of Uruk-hai,Minion • Uruk-Hai,Uruk-hai,11,,4,11,2,,,,"Damage +1. While this minion is skirmishing a Free Peoples character who has resistance 5 or less, this minion cannot take wounds.
",,,,,https://lotrtcgwiki.com/wiki/lotr11198
11C199,Relentless Uruk,Minion • Uruk-Hai,Uruk-hai,11,,5,14,3,,,,"Damage +1. Each time a Free Peoples event is played during a skirmish involving this minion, this minion is strength -2 until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr11199
11C200,Ruthless Uruk,Minion • Uruk-Hai,Uruk-hai,11,,3,10,2,,,,"Each time this minion is assigned to skirmish a character who has resistance 3 or less, you may exert this minion to discard a possession borne by that character.
",,,,,https://lotrtcgwiki.com/wiki/lotr11200
11C201,Sentinel Uruk,Minion • Uruk-Hai,Uruk-hai,11,,4,8,3,,,,"Damage +1. Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Response: If an [Uruk-hai] minion is about to take a wound in a skirmish, exert or discard this minion to prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr11201
11C202,Squad of Uruk-hai,Minion • Uruk-Hai,Uruk-hai,11,,4,10,3,,,,"Damage +1. While this minion is skirmishing a character who has resistance 4 or less, this minion is damage +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr11202
11C203,Swarming Uruk,Minion • Uruk-Hai,Uruk-hai,11,,3,9,2,,,,"Damage +1. While you can spot another [Uruk-hai] minion assigned to a skirmish, this minion cannot take wounds.
",,,,,https://lotrtcgwiki.com/wiki/lotr11203
11C204,Tyrannical Uruk,Minion • Uruk-Hai,Uruk-hai,11,,6,14,3,,,,"Damage +1. Toil 1. (For each [Uruk-hai] character you exert when playing this, its twilight cost is -1.)
",,,,,https://lotrtcgwiki.com/wiki/lotr11204
11C206,Watchman Uruk,Minion • Uruk-Hai,Uruk-hai,11,,3,8,2,,,,"Damage +1. When you play this minion at a battleground site, you may draw a card.
",,,,,https://lotrtcgwiki.com/wiki/lotr11206
11C27,Woodland Sentinel,Companion • Elf,Elven,11,,2,5,3,6,,,"While this companion is at a forest site, he is strength +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr11027
11C31,Final Account,Event • Fellowship,Gandalf,11,,1,,,,,,"To play, exert a [Gandalf] Wizard. Discard 2 cards from hand to take a Free Peoples card and a Shadow card from your discard pile into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11031
11C36,Inspiration,Event • Skirmish,Gandalf,11,,1,,,,,,"Spot a [Gandalf] Wizard to reveal your hand and make a minion strength -3 for each companion in your hand (or -4 for each if the fellowship is at a battleground site).
",,,,,https://lotrtcgwiki.com/wiki/lotr11036
11C39,Prolonged Struggle,Event • Skirmish,Gandalf,11,,3,,,,,,"Exert a [Gandalf] Wizard and spot 2 companions who each have resistance 7 or more to wound a minion that Wizard is skirmishing twice.
",,,,,https://lotrtcgwiki.com/wiki/lotr11039
11C4,Battle to the Last,Event • Skirmish,Dwarven,11,,0,,,,,,"Spot a Dwarf. For each wound on that Dwarf, make him strength +2 and damage +1.
",,,,,https://lotrtcgwiki.com/wiki/lotr11004
11C46,Master Commands It,Event • Skirmish,Gollum,11,,1,,,,,,"Make Smeagol strength +1 for each companion who has resistance 5 or more.
",,,,,https://lotrtcgwiki.com/wiki/lotr11046
11C5,Dwarven Embassy,Condition • Support Area,Dwarven,11,129,0,,,,,,"To play, spot a Dwarf. Each companion is damage +1. Discard this condition at the end of your turn.
",,,,,https://lotrtcgwiki.com/wiki/lotr11005
11C62,"•Madril, Ranger of Ithilien",Companion • Man,Gondor,11,,2,6,3,7,,,"Ranger. Fellowship: If Madril is at a forest site, exert him to play the fellowship&#039;s next site.
",,,,,https://lotrtcgwiki.com/wiki/lotr11062
11C63,Much-needed Rest,Event • Fellowship,Gondor,11,,3,,,,,,"Heal each [Gondor] companion who has resistance 5 or more.
",,,,,https://lotrtcgwiki.com/wiki/lotr11063
11C7,"•Farin, Emissary of Erebor",Companion • Dwarf,Dwarven,11,111,2,5,3,6,,,"While Farin is at a battleground or underground site, he gains muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.)
",,,,,https://lotrtcgwiki.com/wiki/lotr11007
11C71,Bold and Cunning,Event • Skirmish,Men,11,,5,,,,,,"Toil 2. (For each [Men] character you exert when playing this, its twilight cost is -2.) Spot a [Men] minion to discard a possession from play.
",,,,,https://lotrtcgwiki.com/wiki/lotr11071
11C72,Column of Easterlings,Minion • Man,Men,11,,3,8,2,,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Skirmish: Discard this minion to make a [Men] minion strength +4.
",,,,,https://lotrtcgwiki.com/wiki/lotr11072
11C73,Corps of Harad,Minion • Man,Men,11,,4,10,3,,,,"While this minion is at a battleground site, it is fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr11073
11C76,Easterling Shield Wall,Minion • Man,Men,11,,4,9,3,,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Response: If a [Men] minion is about to take a wound in a skirmish, exert this minion and remove (1) to prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr11076
11C79,Fearsome Dunlending,Minion • Man,Men,11,,3,9,2,,,,"Ambush (1). When you play this minion at a plains site, you may spot an unbound companion to make that companion resistance -1 until the end of the turn.
",,,,,https://lotrtcgwiki.com/wiki/lotr11079
11C83,Force of Harad,Minion • Man,Men,11,,3,11,3,,,,"When you cannot spot another [Men] minion, discard this minion.
",,,,,https://lotrtcgwiki.com/wiki/lotr11083
11C85,Horde of Harad,Minion • Man,Men,11,,5,13,3,,,,"While this minion is at a battleground site, it is fierce.
",,,,,https://lotrtcgwiki.com/wiki/lotr11085
11C86,Invading Haradrim,Minion • Man,Men,11,,3,8,2,,,,"Each time the Free Peoples player assigns this minion to a skirmish, add (1) for each Free Peoples character who has resistance 5 or less.
",,,,,https://lotrtcgwiki.com/wiki/lotr11086
11C88,Legion of Harad,Minion • Man,Men,11,,6,14,3,,,,"Toil 2. (For each [Men] character you exert when playing this, its twilight cost is -2.)
",,,,,https://lotrtcgwiki.com/wiki/lotr11088
11C89,Long Battle Bow,Possession • Ranged Weapon,Men,11,,2,+1,,,,,"Bearer must be a [Men] minion. Bearer is an archer. When you play this possession, you may make the Free Peoples player exert his or her Man.
",,,,,https://lotrtcgwiki.com/wiki/lotr11089
11C93,Patroller of Haradrim,Minion • Man,Men,11,,3,9,2,,,,"Each time this minion is assigned to a character who has resistance 5 or less, you may discard a possession borne by that character.
",,,,,https://lotrtcgwiki.com/wiki/lotr11093
11C94,Pavise,Possession • Shield,Men,11,,3,,+2,,,,"Bearer must be a [Men] minion. The twilight cost of this possession is -1 for each Free Peoples possession you spot. Bearer cannot take wounds except during a skirmish.
",,,,,https://lotrtcgwiki.com/wiki/lotr11094
11C98,Rampaging Easterling,Minion • Man,Men,11,,2,6,1,,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Each time another [Men] minion wins a skirmish, make this minion strength +3 until the regroup phase.
",,,,,https://lotrtcgwiki.com/wiki/lotr11098
11R1,"•The One Ring, The Ring of Rings",The One Ring,The One Ring,11,1,,,,+2,,,"Response: If the Ring-bearer is about to take a wound, he or she wears The One Ring until the regroup phase. While the Ring-bearer is wearing The One Ring, each time he or she is about to take a wound, add a burden instead. 
",,,,,https://lotrtcgwiki.com/wiki/lotr11001
11R10,"•Grimir, Dwarven Emissary",Companion • Dwarf,Dwarven,11,126,3,7,3,7,,,"Response: If a [Dwarven] companion is about to take a wound in a skirmish, discard 2 [Dwarven] cards from play (except characters) to prevent that.
",,,,,https://lotrtcgwiki.com/wiki/lotr11010
11R100,Strange-looking Men,Minion • Man,Men,11,,4,10,2,,,,"Maneuver: Exert this minion to transfer a possession or condition borne by a character to another eligible bearer.
",,,,,https://lotrtcgwiki.com/wiki/lotr11100
11R108,Beastly Olog-hai,Minion • Troll,Orc,11,,6,13,3,,,,"Damage +1. Fierce. To play, spot an [Orc] minion. Assignment: Exert this minion to assign it to a companion bearing an artifact. The Free Peoples player may discard an artifact from play to prevent this.
",,,,,https://lotrtcgwiki.com/wiki/lotr11108
11R11,•Hall of Our Fathers,Condition • Support Area,Dwarven,11,,2,,,,,,"When you play this condition, stack the top 8 cards of your draw deck here. At the start of your maneuver phase, you may spot a Dwarf to exchange the cards stacked here with your hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11011
11R119,Emboldened Orc,Minion • Orc,Orc,11,,4,11,2,,,,"Lurker. (Skirmishes involving lurker minions must be resolved after any others.) This minion is strength +1 for each companion who is not assigned to a skirmish.
",,,,,https://lotrtcgwiki.com/wiki/lotr11119
11R123,Goblin Hordes,Condition • Support Area,Orc,11,,2,,,,,,"To play, spot an [Orc] minion. Each time the fellowship moves from an underground site, you may take an [Orc] minion from your discard pile into hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11123
11R133,Orkish Worker,Minion • Orc,Orc,11,,3,9,2,,,,"When you play this minion, you may spot another [Orc] minion to reveal the top card of the Free Peoples player&#039;s deck. If it is a Shadow card, add (X), where X is its twilight cost.
",,,,,https://lotrtcgwiki.com/wiki/lotr11133
11R134,Persistent Orc,Minion • Orc,Orc,11,,2,7,1,,,,"Each time this minion is about to be killed or discarded from play, you may spot another [Orc] card to place this minion on top of your draw deck instead.
",,,,,https://lotrtcgwiki.com/wiki/lotr11134
11R135,Porter Troll,Minion • Troll,Orc,11,,7,15,3,,,,"Damage +1. Fierce. To play, spot an [Orc] minion. When you play this minion, add a burden unless the Free Peoples player reveals a Free Peoples event from his or her hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11135
11R14,Well-equipped,Event • Fellowship,Dwarven,11,,1,,,,,,"Discard a [Dwarven] card from hand to play a [Dwarven] possession from your draw deck on a [Dwarven] companion who has resistance 5 or more.
",,,,,https://lotrtcgwiki.com/wiki/lotr11014
11R141,Undisciplined,Event • Assignment,Orc,11,,8,,,,,,"Toil 3. (For each [Orc] character you exert when playing this, its twilight cost is -3.) Assign an [Orc] minion to a companion (except the Ring-bearer).
",,,,,https://lotrtcgwiki.com/wiki/lotr11141
11R143,Watchful Orc,Minion • Orc,Orc,11,,4,8,3,,,,"When you play this minion, you may spot another [Orc] minion to replace the fellowship&#039;s current site with an underground site from your adventure deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr11143
11R147,"•Gamling, Defender of the Hornburg",Companion • Man,Rohan,11,47,2,6,3,6,,,"At the start of the fellowship phase, you may add (1) to play a possession on Gamling from your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr11147
11R147,"•Gamling, Defender of the Hornburg",Companion • Man,Rohan,11,97,2,6,3,6,,,"At the start of the fellowship phase, you may add (1) to play a possession on Gamling from your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr11147
11R154,•Riders of the Mark,Companion • Man,Rohan,11,50,5,8,3,6,,,"To play, spot 2 [Rohan] companions. You may play Riders of the Mark any time you could play a skirmish event. When you play Riders of the Mark, you may exhaust a minion.
",,,,,https://lotrtcgwiki.com/wiki/lotr11154
11R158,Sword Rack,Condition • Support Area,Rohan,11,59,1,,,,,,"Response: If a [Rohan] possession is discarded from play and no more than one possession is stacked here, stack it here. Fellowship: Add (1) to play a possession stacked here as if from hand.
",,,,,https://lotrtcgwiki.com/wiki/lotr11158
11R165,Habits of Home,Condition,Shire,11,,4,,,,,,"Toil 2. (For each [Shire] character you exert when playing this, its twilight cost is -2.) Bearer must be a Hobbit. Limit 1 per bearer. Each time the fellowship moves from a dwelling or forest site, remove (1).
",,,,,https://lotrtcgwiki.com/wiki/lotr11165
11R17,Elven Marksmanship,Condition • Support Area,Elven,11,,6,,,,,,"To play, spot an Elf. Toil 2. (For each [Elven] character you exert when playing this, its twilight cost is -2.) Archery: Discard this condition to make the fellowship archery total +2.
",,,,,https://lotrtcgwiki.com/wiki/lotr11017
11R170,"•Pippin, Brave Decoy",Companion • Hobbit,Shire,11,,1,3,4,9,,,"Skirmish: If Pippin is not assigned to a skirmish, spot an unbound companion who has less resistance than Pippin to have Pippin replace him or her in a skirmish.
",,,,,https://lotrtcgwiki.com/wiki/lotr11170
11R171,Salt from the Shire,Possession • Box,Shire,11,,1,,,+2,,,"Bearer must be a Hobbit. Fellowship: Discard this possession to remove a burden. Skirmish: If bearer is an unbound Hobbit, discard this possession to prevent him or her from being overwhelmed unless his or her strength is tripled.
",,,,,https://lotrtcgwiki.com/wiki/lotr11171
11R173,"•Sting, Weapon of Heritage",Possession • Hand Weapon,Shire,,2,1,+2,,,,,"Bearer must be Bilbo, Frodo, or Sam. Maneuver: If bearer is Bilbo or Frodo, exert him to make another companion resistance +2 until the regroup phase. If bearer is Sam, each time he wins a skirmish, you may remove a burden.
",,,,,https://lotrtcgwiki.com/wiki/lotr11173
