"","Artist","Set_Name","Classifications","Abilities","Set_Num","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Unique_ID","Card_Num","Body_Text","Willpower","Strength","Set_ID","Flavor_Text","Card_Variants","Move_Cost"
"175","Kasia Brzezinska","Into the Inklands","Storyborn, Villain","Challenger +2",3,"Steel","","https://lorcana-api.com/images/helga_sinclair/right-hand_woman/helga_sinclair-right-hand_woman-large.png",3,TRUE,"Helga Sinclair - Right-Hand Woman","Character",1,"Common","INK-175",175,"Challenger +2 (While challenging, this character gets +2{s}.)",4,2,"INK","""That was an order, not a suggestion. Let's Go!""",NA,NA
"176","Kumatori Gaku","Into the Inklands","Dreamborn, Villain, Alien, Pirate, Captain","Resist +1",3,"Steel","","https://lorcana-api.com/images/john_silver/greedy_treasure_seeker/john_silver-greedy_treasure_seeker-large.png",3,TRUE,"John Silver - Greedy Treasure Seeker","Character",1,"Rare","INK-176",176,"Chart Your Own Course - For each location you have in play, this character gains Resist +1 and gets +1{l}. (Damage dealt to them is reduced by 1.)",3,3,"INK","""I was never much good at games. Always hated to lose.""",NA,NA
"177","Carlos Ruiz","Into the Inklands","Storyborn, Hero, Princess","Bodyguard",3,"Steel","","https://lorcana-api.com/images/kida/royal_warrior/kida-royal_warrior-large.png",2,TRUE,"Kida - Royal Warrior","Character",1,"Common","INK-177",177,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",3,2,"INK","She's seen strange things before, but nothing like this.",NA,NA
"178","Filipe Laurentino","Into the Inklands","Floodborn, Hero","Shift 4, Bodyguard, Resist +1",3,"Steel","","https://lorcana-api.com/images/little_john/resourceful_outlaw/little_john-resourceful_outlaw-large.png",6,TRUE,"Little John - Resourceful Outlaw","Character",2,"Super Rare","INK-178",178,"Shift 4 (You may pay 4{i} to play this on top of one of your characters named Little John.)

Okay, Big Shot - While this character is exerted, your characters with Bodyguard gain Resist +1 and get +1{l}.",5,4,"INK",NA,NA,NA
"179","Jacob McAlister","Into the Inklands","Storyborn, Ally","Bodyguard, Evasive",3,"Steel","","https://lorcana-api.com/images/little_john/robin's_pal/little_john-robin's_pal-large.png",3,TRUE,"Little John - Robin's Pal","Character",1,"Uncommon","INK-179",179,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Disguised - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)",4,2,"INK",NA,NA,NA
"180","Alice Pisoni","Into the Inklands","Storyborn, Titan","Resist +2",3,"Steel","","https://lorcana-api.com/images/lythos/rock_titan/lythos-rock_titan-large.png",4,TRUE,"Lythos - Rock Titan","Character",1,"Uncommon","INK-180",180,"Resist +2 (Damage dealt to this character is reduced by 2.)

Stone Skin - {e}: Chosen character gains Resist +2 this turn.",1,4,"INK","""Crush Zeus!""",NA,NA
"181","Louis Jones","Into the Inklands","Dreamborn, Hero",NA,3,"Steel","","https://lorcana-api.com/images/mickey_mouse/stalwart_explorer/mickey_mouse-stalwart_explorer-large.png",3,TRUE,"Mickey Mouse - Stalwart Explorer","Character",1,"Common","INK-181",181,"Let's Take A Look - This character gets +1{p} for each location you have in play.",3,3,"INK","Mickey knew just where to start searching for the Sorcerer's Hat, but he didn't expect it to be guarded.",NA,NA
"182","Gonzalo Kenny","Into the Inklands","Dreamborn, Hero",NA,3,"Steel","","https://lorcana-api.com/images/mickey_mouse/trumpeter/mickey_mouse-trumpeter-large.png",4,FALSE,"Mickey Mouse - Trumpeter","Character",1,"Legendary","INK-182",182,"Sound The Call - {e}, 2{i}: Play a character for free.",1,0,"INK",NA,"(enchanted, placeholder)",NA
"183","Grace Tran","Into the Inklands","Dreamborn, Hero",NA,3,"Steel","","https://lorcana-api.com/images/minnie_mouse/funky_spelunker/minnie_mouse-funky_spelunker-large.png",1,TRUE,"Minnie Mouse - Funky Spelunker","Character",1,"Common","INK-183",183,"Journey - While this character is at a location, she gets +2{p}.",3,0,"INK","She'll never cave under pressure.",NA,NA
"184","Ally Zermeno","Into the Inklands","Storyborn, Ally, Pirate",NA,3,"Steel","","https://lorcana-api.com/images/mr._smee/bumbling_mate/mr._smee-bumbling_mate-large.png",2,TRUE,"Mr. Smee - Bumbling Mate","Character",2,"Uncommon","INK-184",184,"Oh Dear, Dear, Dear - At the end of your turn, if this character is exerted and you don't have a Captain character in play, deal 1 damage to this character.",3,3,"INK","""Catch those little - OUCH!""",NA,NA
"185","Evana Kisa, Livio Cacciatore","Into the Inklands","Storyborn, Mentor, King",NA,3,"Steel","","https://lorcana-api.com/images/mufasa/champion_of_the_pride_lands/mufasa-champion_of_the_pride_lands-large.png",7,TRUE,"Mufasa - Champion of the Pride Lands","Character",3,"Rare","INK-185",185,NA,10,3,"INK","Even his name makes enemies quiver in fear.",NA,NA
"186","Brian Weisz","Into the Inklands","Storyborn, Ally",NA,3,"Steel","","https://lorcana-api.com/images/nala/fierce_fiend/nala-fierce_fiend-large.png",3,TRUE,"Nala - Fierce Friend","Character",2,"Uncommon","INK-186",186,NA,4,2,"INK","""Pinned ya again.""",NA,NA
"187","Eva Widermann","Into the Inklands","Storyborn, Titan",NA,3,"Steel","","https://lorcana-api.com/images/pyros/lava_titan/pyros-lava_titan-large.png",5,TRUE,"Pyros - Lava Titan","Character",1,"Rare","INK-187",187,"Eruption - During your turn, whenever this character banishes another character in a challenge, you may ready chosen character.",4,5,"INK","""Melt Zeus!""",NA,NA
"188","Kuya Jaypi","Into the Inklands","Storyborn, Ally, Captain",NA,3,"Steel","","https://lorcana-api.com/images/razoul/palace_guard/razoul-palace_guard-large.png",2,TRUE,"Razoul - Palace Guard","Character",1,"Common","INK-188",188,"Looky Here - While this character has no damage, he gets +2{p}.",3,1,"INK","""There's no princess here to save you this time, street rat.""",NA,NA
"189","Valerio Buonfantino","Into the Inklands","Storyborn, Hero",NA,3,"Steel","","https://lorcana-api.com/images/robin_hood/beloved_outlaw/robin_hood-beloved_outlaw-large.png",1,TRUE,"Robin Hood - Beloved Outlaw","Character",1,"Common","INK-189",189,NA,2,2,"INK","""You call this an ambush? Tsk, tsk. It's barely a bushwhack.""",NA,NA
"190","Rudy Hill","Into the Inklands","Floodborn, Hero","Shift 3",3,"Steel","","https://lorcana-api.com/images/robin_hood/champion_of_sherwood/robin_hood-champion_of_sherwood-large.png",5,TRUE,"Robin Hood - Champion of Sherwood","Character",2,"Legendary","INK-190",190,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Robin Hood.)

Skilled Combatant - During your turn, whenever this character banishes another character in a challenge, gain 2 lore.

The Good Of Others - When this character is banished in a challenge, you may draw a card.",6,3,"INK",NA,"(enchanted, placeholder)",NA
"191","Alice Pisoni","Into the Inklands","Dreamborn, Villain",NA,3,"Steel","","https://lorcana-api.com/images/sheriff_of_nottingham/corrupt_official/sheriff_of_nottingham-corrupt_official-large.png",4,FALSE,"Sheriff of Nottingham - Corrupt Official","Character",1,"Super Rare","INK-191",191,"Taxes Should Hurt - Whenever you discard a card, you may deal 1 damage to chosen opposing character.",4,2,"INK","The thirteenth Rule of Villainy: Take everything you can, but do it with a smile.",NA,NA
"192","Noukah","Into the Inklands","Dreamborn,  Hero, Prince",NA,3,"Steel","","https://lorcana-api.com/images/simba/fighting_prince/simba-fighting_prince-large.png",7,TRUE,"Simba - Fighting Prince","Character",2,"Super Rare","INK-192",192,"Step Down Or Fight - When you play this character and whenever he banishes another character in a challenge during your turn, you may choose one:
- Draw 2 cards, then choose and discard 2 cards.
- Deal 2 damage 2 chosen character.",7,5,"INK","He's ready to restore the Pride Lands to their former glory.",NA,NA
"193","Mariana Moreno","Into the Inklands","Storyborn, Hero, King",NA,3,"Steel","","https://lorcana-api.com/images/simba/rightful_king/simba-rightful_king-large.png",5,TRUE,"Simba - Rightful King","Character",1,"Uncommon","INK-193",193,"Triumphant Stance - During your turn, whenever this character banishes another character in a challenge, chosen opposing character can't challenge during their next turn.",6,4,"INK","With dangers multiplying all around, the pride needs its guardian.",NA,NA
"194","Juan Diego Leon","Into the Inklands","Storyborn, Villain",NA,3,"Steel","","https://lorcana-api.com/images/thaddeus_e._klang/metallic_leader/thaddeus_e._klang-metallic_leader-large.png",5,TRUE,"Thaddeus E. Klang - Metallic Leader","Character",2,"Uncommon","INK-194",194,"My Teeth Are Sharper - Whenever this character quests while at a location, you may deal 1 damage to chosen character.",5,3,"INK","""Soon the bells will ring in the sound of your doom!""",NA,NA
"195","Isabella Ceravolo","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/and_then_along_came_zeus/and_then_along_came_zeus-large.png",4,FALSE,"And Then Along Came Zeus","Action - Song",NA,"Rare","INK-195",195,"(A character with cost 4 or more can {e} to sing this song for free.)

Deal 5 damage to chosen character or location.",NA,NA,"INK","He hurled his thunderbolt - He zapped
Locked those suckers in a vault - They're trapped
And on his own stopped chaos in its tracks","(enchanted, placeholder)",NA
"196","Heidi Neunhoffer","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/ba-boom!/ba-boom!-large.png",2,TRUE,"Ba-Boom!","Action",NA,"Common","INK-196",196,"Deal 2 damage to chosen character or location",NA,NA,"INK","Bigger than your average boom!",NA,NA
"197","Michaela Martin","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/olympus_would_be_that_way/olympus_would_be_that_way-large.png",1,TRUE,"Olympus Would Be That Way","Action",NA,"Common","INK-197",197,"Your characters get +3{p} while challenging a location this turn.",NA,NA,"INK","""Now that I set you free, what is the first thing you are going to do?""
-Hades",NA,NA
"198","Nicola Saviori","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/rise_of_the_titans/rise_of_the_titans-large.png",3,TRUE,"Rise Of The Titans","Action",NA,"Uncommon","INK-198",198,"Banish chosen location or item.",NA,NA,"INK","""Oh, we're in trouble, big trouble!""",NA,NA
"199","Jeremy Adams","Into the Inklands",NA,"Challenger +1",3,"Steel","","https://lorcana-api.com/images/captain_hook's_rapier/captain_hook's_rapier-large.png",3,FALSE,"Captain Hook's Rapier","Item",NA,"Uncommon","INK-199",199,"Get Those Scurvy Brats! - During your turn, whenever one of your characters banishes another character in a challenge, you may pay 1{i} to draw a  card.

Let's Have At It! - Your characters named Captain Hook gain Challenger +1. (They get +1{p} while challenging.)",NA,NA,"INK",NA,NA,NA
"200","Dustin Panzino","Into the Inklands",NA,"Resist +2",3,"Steel","","https://lorcana-api.com/images/gizmosuit/gizmosuit-large.png",3,TRUE,"Gizmosuit","Item",NA,"Common","INK-200",200,"Cybernetic Armor - Banish this item: Chosen character gains Resist +2 until the start of your next turn. (Damage dealt to them is reduced by 2.)",NA,NA,"INK","It stands in the Hall of Lorcana, waiting for someone to speak the secret words.",NA,NA
"201","Gabriel Angelo","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/map_of_treasure_planet/map_of_treasure_planet-large.png",3,TRUE,"Map of Treasure Planet","Item",NA,"Rare","INK-201",201,"Key To The Portal - {e}: You pay 1{i} less for the next location you play this turn.

Show The Way - You pay 1{i} less to move your characters to a location.",NA,NA,"INK","""Gentlemen, this must be kept under lock and key.""
-Captain Amelia",NA,NA
"202","Jeremy Adams","Into the Inklands",NA,"Resist +1",3,"Steel","","https://lorcana-api.com/images/maui's_place_of_exile/hidden_island/maui's_place_of_exile-hidden_island-large.png",2,TRUE,"Maui's Place of Exile - Hidden Island","Location",NA,"Rare","INK-202",202,"Isolated - Characters gain Resist +1 while here. (Damage dealt to them is reduced by 1.)",5,NA,"INK","Nothing but boulders and sand - easy to miss.",NA,1
"203","Bryn Jones","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/nottingham/prince_john's_castle/nottingham-prince_john's_castle-large.png",2,TRUE,"Nottingham - Prince John's Castle","Location",1,"Common","INK-203",203,NA,6,NA,"INK","Sir Hiss: ""I say, sire, your mother's castle will be the perfect place to set up our scheme!""
Prince John: ""Mommy!""",NA,1
"204","Ryan Moeck","Into the Inklands",NA,NA,3,"Steel","","https://lorcana-api.com/images/the_bayou/mysterious_swamp/the_bayou-mysterious_swamp-large.png",1,TRUE,"The Bayou - Mysterious Swamp","Location",1,"Uncommon","INK-204",204,"Show Me The Way - Whenever a character quests while here, you may draw a card, then choose and discard a card.",3,NA,"INK","A place to find what you need, not just what you want.",NA,1
"205","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/bashful/hopeless_romantic/bashful-hopeless_romantic-large.png",4,TRUE,"Bashful - Hopeless Romantic","Character",3,"Uncommon","ROF-001",1,"Oh, Gosh! - This character can't quest unless you have another Seven Dwarfs character in play.",5,2,"ROF","Life is sweeter with friends.",NA,NA
"206","Eri Welli","Rise of the Floodborn","Dreamborn, Hero",NA,2,"Amber","","https://lorcana-api.com/images/christopher_robin/adventurer/christopher_robin-adventurer-large.png",6,TRUE,"Christopher Robin - Adventurer","Character",2,"Rare","ROF-002",2,"We'll Always Be Together: Whenever you ready this character, if you have 2 or more other characters in play, gain 2 lore.",6,2,"ROF","""Look, Pooh! Have you ever seen anything so grand?""
- Christopher Robin",NA,NA
"207","Casey Robin","Rise of the Floodborn","Storyborn, Hero, Princess","Singer 3",2,"Amber","","https://lorcana-api.com/images/cinderella/ballroom_sensation/cinderella-ballroom_sensation-large.png",1,TRUE,"Cinderella - Ballroom Sensation","Character",1,"Rare","ROF-003",3,"Singer 3 (This character counts as cost 3 to sing songs.)",2,1,"ROF","With a magical dress and a song in her heart, she dazzled everyone at the ball.",NA,NA
"208","Jake Parker","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amber","","https://lorcana-api.com/images/cobra_bubbles/just_a_social_worker/cobra_bubbles-just_a_social_worker-large.png",7,TRUE,"Cobra Bubbles - Just a Social Worker","Character",2,"Rare","ROF-004",4,NA,9,5,"ROF","""Let me get this straight. Your 'magic' spellbook got washed away in a flood of 'magic' ink?""",NA,NA
"209","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/doc/leader_of_the_seven_dwarfs/doc-leader_of_the_seven_dwarfs-large.png",3,TRUE,"Doc - Leader of the Seven Dwarfs","Character",2,"Uncommon","ROF-005",5,"Share and Share Alike: Whenever this character quests, you pay 1 {i} less for the next character you play this turn.",3,2,"ROF","He's in charge of this outfit.",NA,NA
"210","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/dopey/always_playful/dopey-always_playful-large.png",3,TRUE,"Dopey - Always Playful","Character",1,"Uncommon","ROF-006",6,"Odd One Out: When this character is banished, your other Seven Dwarfs characters get +2 {s} until the start of your next turn.",2,2,"ROF","He's a real gem.",NA,NA
"211","Lisette Carrera","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amber","","https://lorcana-api.com/images/eudora/accomplished_seamstress/eudora-accomplished_seamstress-large.png",5,TRUE,"Eudora - Accomplished Seamstress","Character",2,"Common","ROF-007",7,NA,9,1,"ROF","Love holds everything together.",NA,NA
"212","Jochem van Gool","Rise of the Floodborn","Dreamborn, Villain","Singer 5",2,"Amber","","https://lorcana-api.com/images/gaston/baritone_bully/gaston-baritone_bully-large.png",3,TRUE,"Gaston - Baritone Bully","Character",1,"Uncommon","ROF-008",8,"Singer 5 ( This character counts as cost 5 to sing songs.)",3,3,"ROF","No one . . . sings like Gaston!",NA,NA
"213","Javi Salas","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amber","","https://lorcana-api.com/images/grand_duke/advisor_to_the_king/grand_duke-advisor_to_the_king-large.png",2,TRUE,"Grand Duke - Advisor to the King","Character",1,"Rare","ROF-009",9,"Yes, Your Majesty - Your Prince, Princess, King, and Queen characters get +1 {s}.",2,2,"ROF","He takes being opinionated to a higher level.",NA,NA
"214","Kendall Hale","Rise of the Floodborn","Storyborn,  Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/grumpy/bad-tempered/grumpy-bad-tempered-large.png",4,TRUE,"Grumpy - Bad-Tempered","Character",1,"Common","ROF-010",10,"There's Trouble A-Brewin' - Your other Seven Dwarfs characters get +1 {s}.",4,3,"ROF","Sour as a green gooseberry!",NA,NA
"215","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs","Support",2,"Amber","","https://lorcana-api.com/images/happy/good-natured/happy-good-natured-large.png",5,TRUE,"Happy - Good-Natured","Character",2,"Common","ROF-011",11,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",5,3,"ROF","You couldn't pick a better friend.",NA,NA
"216","Hadjie Joos","Rise of the Floodborn","Storyborn, King",NA,2,"Amber","","https://lorcana-api.com/images/king_louie/jungle_vip/king_louie-jungle_vip-large.png",7,TRUE,"King Louie - Jungle VIP","Character",2,"Super Rare","ROF-012",12,"Lay It On The Line - Whenever another character is banished, you may remove up to 2 damage from this character.",8,3,"ROF","""Cool it, boy. Unwind yourself.""",NA,NA
"217","Veronica Di Lorenzo / Livio Cacciatore","Rise of the Floodborn","Storyborn, Hero",NA,2,"Amber","","https://lorcana-api.com/images/mickey_mouse/friendly_face/mickey_mouse-friendly_face-large.png",6,TRUE,"Mickey Mouse - Friendly Face","Character",3,"Super Rare","ROF-013",13,"Glad You're Here! - Whenever this character quests, you pay 3 {i} less for the next character you play this turn.",6,1,"ROF","""Come on in- there's lots to explore.""",NA,NA
"218","Stefano Zanchi","Rise of the Floodborn","Storyborn, Mentor, King",NA,2,"Amber","","https://lorcana-api.com/images/mufasa/betrayed_leader/mufasa-betrayed_leader-large.png",5,TRUE,"Mufasa - Betrayed Leader","Character",2,"Legendary","ROF-014",14,"The Sun Will Set - When this character is banished, you may reveal the top card of your deck. If it's a character card, you may play that character for free and they enter play exerted. Otherwise, put it on the top of your deck.",3,3,"ROF",NA,NA,NA
"219","Amber Kommavongsa","Rise of the Floodborn","Dreamborn, Hero, Princess","Support",2,"Amber","","https://lorcana-api.com/images/mulan/free_spirit/mulan-free_spirit-large.png",3,TRUE,"Mulan - Free Spirit","Character",2,"Common","ROF-015",15,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",3,2,"ROF","Everything looks better when you're free to be yourself.",NA,NA
"220","Lisette Carrera","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 2",2,"Amber","","https://lorcana-api.com/images/mulan/reflecting/mulan-reflecting-large.png",4,TRUE,"Mulan - Reflecting","Character",2,"Rare","ROF-016",16,"Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Mulan.)

Honor To The Ancestors - Whenever this character quests, you may reveal the top card of your deck. If it's a song card, you may play it for free. Otherwise, put it on the top of your deck.",3,3,"ROF",NA,NA,NA
"221","Filipe Laurentino","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amber","","https://lorcana-api.com/images/nana/darling_family_pet/nana-darling_family_pet-large.png",2,TRUE,"Nana - Darling Family Pet","Character",1,"Uncommon","ROF-017",17,"Nursemaid - Whenever you play a Floodborn character, you may remove all damage from chosen character.",3,1,"ROF","Children are a dog's best friend.",NA,NA
"222","Kiersten Hale","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amber","","https://lorcana-api.com/images/piglet/very_small_animal/piglet-very_small_animal-large.png",3,TRUE,"Piglet - Very Small Animal","Character",2,"Common","ROF-018",18,NA,4,2,"ROF","For a very small animal, he has an awfully big heart.",NA,NA
"223","Aubrey Archer","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 3",2,"Amber","","https://lorcana-api.com/images/rapunzel/gifted_artist/rapunzel-gifted_artist-large.png",5,TRUE,"Rapunzel - Gifted Artist","Character",2,"Uncommon","ROF-019",19,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Rapunzel.)

Let Your Power Shine - Whenever you remove 1 or more damage from one of your characters, you may draw a card.",6,0,"ROF",NA,NA,NA
"224","Aubrey Archer","Rise of the Floodborn","Dreamborn, Hero, Princess",NA,2,"Amber","","https://lorcana-api.com/images/rapunzel/sunshine/rapunzel-sunshine-large.png",2,TRUE,"Rapunzel - Sunshine","Character",1,"Common","ROF-020",20,"Magic Hair - {e}: Remove up to 2 damage from chosen character.",4,1,"ROF","""We can all make the world a little brighter in our own way.""",NA,NA
"225","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/sleepy/nodding_off/sleepy-nodding_off-large.png",2,TRUE,"Sleepy - Nodding Off","Character",2,"Common","ROF-021",21,"Yawn! - This character enters play exerted.",3,2,"ROF","He never gets tired of naps.",NA,NA
"226","Kendall Hale","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,2,"Amber","","https://lorcana-api.com/images/sneezy/very_allergic/sneezy-very_allergic-large.png",2,TRUE,"Sneezy - Very Allergic","Character",1,"Common","ROF-022",22,"Ah-Choo! Whenever you play this character or another Seven Dwarfs character, you may give chosen character -1 {s} this turn.",4,1,"ROF","Look out! He's gonna blow!",NA,NA
"227","LadyShalirin","Rise of the Floodborn","Storyborn, Hero, Princess",NA,2,"Amber","","https://lorcana-api.com/images/snow_white/lost_in_the_forest/snow_white-lost_in_the_forest-large.png",2,TRUE,"Snow White - Lost in the Forest","Character",1,"Common","ROF-023",23,"I Won't Hurt You - When you play this character, you may remove up to 2 damage from chosen character.",3,2,"ROF","""Why, you're all alone, just like me.""",NA,NA
"228","Samantha Erdini","Rise of the Floodborn","Storyborn, Hero, Princess",NA,2,"Amber","","https://lorcana-api.com/images/snow_white/unexpected_houseguest/snow_white-unexpected_houseguest-large.png",2,TRUE,"Snow White - Unexpected Houseguest","Character",1,"Uncommon","ROF-024",24,"How Do You Do? - You pay 1 {i} less to play Seven Dwarfs Characters.",2,1,"ROF","""Nothing says 'hello' better than a fresh-baked pie.""",NA,NA
"229","Javi Salas","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 4",2,"Amber","","https://lorcana-api.com/images/snow_white/well_wisher/snow_white-well_wisher-large.png",6,FALSE,"Snow White - Well Wisher","Character",2,"Legendary","ROF-025",25,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Snow White.)

Wishes Come True - Whenever this character quests, you may return a character card from your discard to your hand.",5,3,"ROF",NA,NA,NA
"230","Matthew Robert Davies / Lady Shalirin","Rise of the Floodborn","Floodborn, Villain, Queen","Shift 2",2,"Amber","","https://lorcana-api.com/images/the_queen/commanding_presence/the_queen-commanding_presence-large.png",5,TRUE,"The Queen - Commanding Presence","Character",2,"Super Rare","ROF-026",26,"Shift 2 (You may pay 2 {i} to play this on top of one of your characters named The Queen.)

Who is the Fairest? - Whenever this character quests, chosen opposing character gets -4 {s} this turn and chosen character gets +4 {s} this turn.",3,4,"ROF",NA,NA,NA
"231","Eva Widerman","Rise of the Floodborn","Storyborn, Villain, Queen",NA,2,"Amber","","https://lorcana-api.com/images/the_queen/royal_monarch/the_queen-royal_monarch-large.png",1,TRUE,"The Queen - Regal Monarch","Character",1,"Common","ROF-027",27,NA,2,2,"ROF","Don't question her. Don't doubt her. And above all, don't disobey her.",NA,NA
"232","Connie Kang / Jackie Droujko","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/hold_still/hold_still-large.png",2,TRUE,"Hold Still","Action",NA,"Common","ROF-028",28,"Remove up to 4 damage from chosen character.",NA,NA,"ROF","""This might sting a little.""",NA,NA
"233","Aisha Durmagambetova","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/last_stand/last_stand-large.png",2,FALSE,"Last Stand","Action",NA,"Uncommon","ROF-029",29,"Banish chosen character who was challenged this turn.",NA,NA,"ROF","""Let's finish this, binturi."" - Namaari",NA,NA
"234","Matt Chapman","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/painting_the_roses_red/painting_the_roses_red-large.png",2,TRUE,"Painting the Roses Red","Action - Song",NA,"Common","ROF-030",30,"{A character with cost X or more can {e} to sing this song for free.)

Up to 2 chosen characters get -1 {s} this turn. Draw a card.",NA,NA,"ROF",NA,NA,NA
"235","Giulia Riva","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/world's_greatest_criminal_mind/world's_greatest_criminal_mind-large.png",3,TRUE,"World's Greatest Criminal Mind","Action - Song",NA,"Rare","ROF-031",31,"(A character with cost 3 or more can {e} to sing this song for free.)  Banish chosen character with 5 {s} or more.",NA,NA,"ROF",NA,NA,NA
"236","Rob Di Salvo","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/zero_to_hero/zero_to_hero-large.png",2,FALSE,"Zero to Hero","Action - Song",NA,"Uncommon","ROF-032",32,"{A character with cost X or more can {e} to sing this song for free.)

Count the number of characters you have in play. You pay that amount of {i} less for the next character you play this turn.",NA,NA,"ROF",NA,NA,NA
"237","Andrew Trabbold","Rise of the Floodborn",NA,"Support",2,"Amber","","https://lorcana-api.com/images/dragon_gem/dragon_gem-large.png",3,FALSE,"Dragon Gem","Item",NA,"Rare","ROF-033",33,"Bring Back To Life: {e}, 3 {i} - Return a character card with Support from your discard to your hand.",NA,NA,"ROF","Hope shines in even the darkest situations.",NA,NA
"238","Antonia Flechsig","Rise of the Floodborn",NA,NA,2,"Amber","","https://lorcana-api.com/images/sleepy's_flute/sleepy's_flute-large.png",2,FALSE,"Sleepy's Flute","Item",NA,"Rare","ROF-034",34,"A Silly Song - {e}: If you played a song this turn, gain 1 lore.",NA,NA,"ROF",NA,NA,NA
"239","Jake Parker","Rise of the Floodborn","Dreamborn, Hero, Sorcerer",NA,2,"Amethyst","","https://lorcana-api.com/images/arthur/wizard's_apprentice/arthur-wizard's_apprentice-large.png",3,FALSE,"Arthur - Wizard's Apprentice","Character",1,"Super Rare","ROF-035",35,"Student: Whenever this character quests, you may return another chosen character of yours to your hand to gain 2 lore.",3,1,"ROF","""Hmm.. what spell should I try next?""",NA,NA
"240","Kiersten Hale","Rise of the Floodborn","Storyborn, Ally, Fairy","Evasive",2,"Amethyst","","https://lorcana-api.com/images/blue_fairy/rewarding_good_deeds/blue_fairy-rewarding_good_deeds-large.png",2,TRUE,"Blue Fairy - Rewarding Good Deeds","Character",1,"Uncommon","ROF-036",36,"Evasive (Only characters with Evasive can challenge this character.)
Ethereal Glow: Whenever you play a Floodborn character, you may draw a card.",1,1,"ROF","""To make geppetto's wish come true will be entirely up to you."" -Blue Fairy",NA,NA
"241","Aubrey Archer","Rise of the Floodborn","Storyborn, Ally",NA,2,"Amethyst","","https://lorcana-api.com/images/chip_the_teacup/gentle_soul/chip_the_teacup-gentle_soul-large.png",1,TRUE,"Chip The Teacup - Gentle Soul","Character",1,"Common","ROF-037",37,NA,2,2,"ROF","""Wanna see me do a trick?""",NA,NA
"242","Leonardo Giammichele","Rise of the Floodborn","Storyborn, Villain, Sorcerer","Evasive",2,"Amethyst","","https://lorcana-api.com/images/dr._facilier/savvy_opportunist/dr._facilier-savvy_opportunist-large.png",4,TRUE,"Dr. Facilier - Savvy Opportunist","Character",1,"Common","ROF-038",38,"Evasive (Only characters with Evasive can challenge this character.)",2,4,"ROF",NA,NA,NA
"243","Cristian Romero","Rise of the Floodborn","Storyborn, Hero, Queen, Sorcerer","Challenger +3",2,"Amethyst","","https://lorcana-api.com/images/elsa/gloves_off/elsa-gloves_off-large.png",4,TRUE,"Elsa - Gloves Off","Character",1,"Common","ROF-039",39,"Challenger +3 (While challenging, this character gets +3 {s}.)",4,3,"ROF","The power of ice may not stop the flood, but it will help protect Lorcana.",NA,NA
