"","Name","Set_Name","Classifications","Abilities","Color","Franchise","Cost","Inkable","Type","Lore","Rarity","Body_Text","Willpower","Strength","Move_Cost"
"200","Gizmosuit","Into the Inklands",NA,"Resist +2","Steel","",3,TRUE,"Item",NA,"Common","Cybernetic Armor - Banish this item: Chosen character gains Resist +2 until the start of your next turn. (Damage dealt to them is reduced by 2.)",NA,NA,NA
"201","Map of Treasure Planet","Into the Inklands",NA,NA,"Steel","",3,TRUE,"Item",NA,"Rare","Key To The Portal - {e}: You pay 1{i} less for the next location you play this turn.

Show The Way - You pay 1{i} less to move your characters to a location.",NA,NA,NA
"202","Maui's Place of Exile - Hidden Island","Into the Inklands",NA,"Resist +1","Steel","",2,TRUE,"Location",NA,"Rare","Isolated - Characters gain Resist +1 while here. (Damage dealt to them is reduced by 1.)",5,NA,1
"203","Nottingham - Prince John's Castle","Into the Inklands",NA,NA,"Steel","",2,TRUE,"Location",1,"Common",NA,6,NA,1
"204","The Bayou - Mysterious Swamp","Into the Inklands",NA,NA,"Steel","",1,TRUE,"Location",1,"Uncommon","Show Me The Way - Whenever a character quests while here, you may draw a card, then choose and discard a card.",3,NA,1
"205","Bashful - Hopeless Romantic","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,"Amber","",4,TRUE,"Character",3,"Uncommon","Oh, Gosh! - This character can't quest unless you have another Seven Dwarfs character in play.",5,2,NA
"206","Christopher Robin - Adventurer","Rise of the Floodborn","Dreamborn, Hero",NA,"Amber","",6,TRUE,"Character",2,"Rare","We'll Always Be Together: Whenever you ready this character, if you have 2 or more other characters in play, gain 2 lore.",6,2,NA
"207","Cinderella - Ballroom Sensation","Rise of the Floodborn","Storyborn, Hero, Princess","Singer 3","Amber","",1,TRUE,"Character",1,"Rare","Singer 3 (This character counts as cost 3 to sing songs.)",2,1,NA
"208","Cobra Bubbles - Just a Social Worker","Rise of the Floodborn","Storyborn, Ally",NA,"Amber","",7,TRUE,"Character",2,"Rare",NA,9,5,NA
"209","Doc - Leader of the Seven Dwarfs","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,"Amber","",3,TRUE,"Character",2,"Uncommon","Share and Share Alike: Whenever this character quests, you pay 1 {i} less for the next character you play this turn.",3,2,NA
"210","Dopey - Always Playful","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,"Amber","",3,TRUE,"Character",1,"Uncommon","Odd One Out: When this character is banished, your other Seven Dwarfs characters get +2 {s} until the start of your next turn.",2,2,NA
"211","Eudora - Accomplished Seamstress","Rise of the Floodborn","Storyborn, Ally",NA,"Amber","",5,TRUE,"Character",2,"Common",NA,9,1,NA
"212","Gaston - Baritone Bully","Rise of the Floodborn","Dreamborn, Villain","Singer 5","Amber","",3,TRUE,"Character",1,"Uncommon","Singer 5 ( This character counts as cost 5 to sing songs.)",3,3,NA
"213","Grand Duke - Advisor to the King","Rise of the Floodborn","Storyborn, Ally",NA,"Amber","",2,TRUE,"Character",1,"Rare","Yes, Your Majesty - Your Prince, Princess, King, and Queen characters get +1 {s}.",2,2,NA
"214","Grumpy - Bad-Tempered","Rise of the Floodborn","Storyborn,  Ally, Seven Dwarfs",NA,"Amber","",4,TRUE,"Character",1,"Common","There's Trouble A-Brewin' - Your other Seven Dwarfs characters get +1 {s}.",4,3,NA
"215","Happy - Good-Natured","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs","Support","Amber","",5,TRUE,"Character",2,"Common","Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",5,3,NA
"216","King Louie - Jungle VIP","Rise of the Floodborn","Storyborn, King",NA,"Amber","",7,TRUE,"Character",2,"Super Rare","Lay It On The Line - Whenever another character is banished, you may remove up to 2 damage from this character.",8,3,NA
"217","Mickey Mouse - Friendly Face","Rise of the Floodborn","Storyborn, Hero",NA,"Amber","",6,TRUE,"Character",3,"Super Rare","Glad You're Here! - Whenever this character quests, you pay 3 {i} less for the next character you play this turn.",6,1,NA
"218","Mufasa - Betrayed Leader","Rise of the Floodborn","Storyborn, Mentor, King",NA,"Amber","",5,TRUE,"Character",2,"Legendary","The Sun Will Set - When this character is banished, you may reveal the top card of your deck. If it's a character card, you may play that character for free and they enter play exerted. Otherwise, put it on the top of your deck.",3,3,NA
"219","Mulan - Free Spirit","Rise of the Floodborn","Dreamborn, Hero, Princess","Support","Amber","",3,TRUE,"Character",2,"Common","Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",3,2,NA
"220","Mulan - Reflecting","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 2","Amber","",4,TRUE,"Character",2,"Rare","Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Mulan.)

Honor To The Ancestors - Whenever this character quests, you may reveal the top card of your deck. If it's a song card, you may play it for free. Otherwise, put it on the top of your deck.",3,3,NA
"221","Nana - Darling Family Pet","Rise of the Floodborn","Storyborn, Ally",NA,"Amber","",2,TRUE,"Character",1,"Uncommon","Nursemaid - Whenever you play a Floodborn character, you may remove all damage from chosen character.",3,1,NA
"222","Piglet - Very Small Animal","Rise of the Floodborn","Storyborn, Ally",NA,"Amber","",3,TRUE,"Character",2,"Common",NA,4,2,NA
"223","Rapunzel - Gifted Artist","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 3","Amber","",5,TRUE,"Character",2,"Uncommon","Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Rapunzel.)

Let Your Power Shine - Whenever you remove 1 or more damage from one of your characters, you may draw a card.",6,0,NA
"224","Rapunzel - Sunshine","Rise of the Floodborn","Dreamborn, Hero, Princess",NA,"Amber","",2,TRUE,"Character",1,"Common","Magic Hair - {e}: Remove up to 2 damage from chosen character.",4,1,NA
"225","Sleepy - Nodding Off","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,"Amber","",2,TRUE,"Character",2,"Common","Yawn! - This character enters play exerted.",3,2,NA
"226","Sneezy - Very Allergic","Rise of the Floodborn","Storyborn, Ally, Seven Dwarfs",NA,"Amber","",2,TRUE,"Character",1,"Common","Ah-Choo! Whenever you play this character or another Seven Dwarfs character, you may give chosen character -1 {s} this turn.",4,1,NA
"227","Snow White - Lost in the Forest","Rise of the Floodborn","Storyborn, Hero, Princess",NA,"Amber","",2,TRUE,"Character",1,"Common","I Won't Hurt You - When you play this character, you may remove up to 2 damage from chosen character.",3,2,NA
"228","Snow White - Unexpected Houseguest","Rise of the Floodborn","Storyborn, Hero, Princess",NA,"Amber","",2,TRUE,"Character",1,"Uncommon","How Do You Do? - You pay 1 {i} less to play Seven Dwarfs Characters.",2,1,NA
"229","Snow White - Well Wisher","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 4","Amber","",6,FALSE,"Character",2,"Legendary","Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Snow White.)

Wishes Come True - Whenever this character quests, you may return a character card from your discard to your hand.",5,3,NA
"230","The Queen - Commanding Presence","Rise of the Floodborn","Floodborn, Villain, Queen","Shift 2","Amber","",5,TRUE,"Character",2,"Super Rare","Shift 2 (You may pay 2 {i} to play this on top of one of your characters named The Queen.)

Who is the Fairest? - Whenever this character quests, chosen opposing character gets -4 {s} this turn and chosen character gets +4 {s} this turn.",3,4,NA
"231","The Queen - Regal Monarch","Rise of the Floodborn","Storyborn, Villain, Queen",NA,"Amber","",1,TRUE,"Character",1,"Common",NA,2,2,NA
"232","Hold Still","Rise of the Floodborn",NA,NA,"Amber","",2,TRUE,"Action",NA,"Common","Remove up to 4 damage from chosen character.",NA,NA,NA
"233","Last Stand","Rise of the Floodborn",NA,NA,"Amber","",2,FALSE,"Action",NA,"Uncommon","Banish chosen character who was challenged this turn.",NA,NA,NA
"234","Painting the Roses Red","Rise of the Floodborn",NA,NA,"Amber","",2,TRUE,"Action - Song",NA,"Common","{A character with cost X or more can {e} to sing this song for free.)

Up to 2 chosen characters get -1 {s} this turn. Draw a card.",NA,NA,NA
"235","World's Greatest Criminal Mind","Rise of the Floodborn",NA,NA,"Amber","",3,TRUE,"Action - Song",NA,"Rare","(A character with cost 3 or more can {e} to sing this song for free.)  Banish chosen character with 5 {s} or more.",NA,NA,NA
"236","Zero to Hero","Rise of the Floodborn",NA,NA,"Amber","",2,FALSE,"Action - Song",NA,"Uncommon","{A character with cost X or more can {e} to sing this song for free.)

Count the number of characters you have in play. You pay that amount of {i} less for the next character you play this turn.",NA,NA,NA
"237","Dragon Gem","Rise of the Floodborn",NA,"Support","Amber","",3,FALSE,"Item",NA,"Rare","Bring Back To Life: {e}, 3 {i} - Return a character card with Support from your discard to your hand.",NA,NA,NA
"238","Sleepy's Flute","Rise of the Floodborn",NA,NA,"Amber","",2,FALSE,"Item",NA,"Rare","A Silly Song - {e}: If you played a song this turn, gain 1 lore.",NA,NA,NA
"239","Arthur - Wizard's Apprentice","Rise of the Floodborn","Dreamborn, Hero, Sorcerer",NA,"Amethyst","",3,FALSE,"Character",1,"Super Rare","Student: Whenever this character quests, you may return another chosen character of yours to your hand to gain 2 lore.",3,1,NA
"240","Blue Fairy - Rewarding Good Deeds","Rise of the Floodborn","Storyborn, Ally, Fairy","Evasive","Amethyst","",2,TRUE,"Character",1,"Uncommon","Evasive (Only characters with Evasive can challenge this character.)
Ethereal Glow: Whenever you play a Floodborn character, you may draw a card.",1,1,NA
"241","Chip The Teacup - Gentle Soul","Rise of the Floodborn","Storyborn, Ally",NA,"Amethyst","",1,TRUE,"Character",1,"Common",NA,2,2,NA
"242","Dr. Facilier - Savvy Opportunist","Rise of the Floodborn","Storyborn, Villain, Sorcerer","Evasive","Amethyst","",4,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)",2,4,NA
"243","Elsa - Gloves Off","Rise of the Floodborn","Storyborn, Hero, Queen, Sorcerer","Challenger +3","Amethyst","",4,TRUE,"Character",1,"Common","Challenger +3 (While challenging, this character gets +3 {s}.)",4,3,NA
"244","Fairy Godmother - Here to Help","Rise of the Floodborn","Storyborn, Ally, Fairy",NA,"Amethyst","",5,TRUE,"Character",2,"Uncommon",NA,7,3,NA
"245","Fairy Godmother - Mystic Armorer","Rise of the Floodborn","Floodborn, Mentor, Fairy","Shift 2, Challenger +3","Amethyst","",5,TRUE,"Character",2,"Legendary","Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Fairy Godmother.)
Forget The Coach, Here's A Sword: Whenever this character quests, your characters gain Challenger +3 and ""When this character is banished in a challenge, return this card to your hand"" this turn. (They get +3 {s} while challenging.)",4,3,NA
"246","Fairy Godmother - Pure Heart","Rise of the Floodborn","Storyborn, Ally, Fairy",NA,"Amethyst","",3,TRUE,"Character",1,"Common","Just Leave It To Me: Whenever you play a character named Cinderella, you may exert chosen character.",4,3,NA
"247","HeiHei - Persistent Presence","Rise of the Floodborn","Dreamborn, Ally",NA,"Amethyst","",2,TRUE,"Character",1,"Uncommon","He's Back: When this character is banished in a challenge, return this card to your hand.",1,2,NA
"248","Jiminy Cricket - Pinocchio's Conscience","Rise of the Floodborn","Storyborn, Mentor","Evasive","Amethyst","",2,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)
That Still, Small Voice: When you play this character, if you have a character named Pinocchio in play, you may draw a card.",2,1,NA
"249","Kuzco - Wanted Llama","Rise of the Floodborn","Storyborn, King",NA,"Amethyst","",2,TRUE,"Character",1,"Common","Ok, Where am I?: When this character is banished, you may draw a card.",2,1,NA
"250","Madam Mim - Fox","Rise of the Floodborn","Storyborn, Villain, Sorcerer","Rush","Amethyst","",3,TRUE,"Character",1,"Rare","Chasing The Rabbit: When you play this character, banish her or return another chosen character of yours to your hand.
Rush (This character can challenge the turn they're played.)",3,4,NA
"251","Madam Mim - Purple Dragon","Rise of the Floodborn","Storyborn, Villain, Sorcerer, Dragon","Evasive","Amethyst","",7,TRUE,"Character",4,"Legendary","Evasive (Only characters with Evasive can challenge this character.)\nI Win, I Win!: When you play this character, banish her or return another 2 chosen characters of yours to your hand.",7,5,NA
"252","Madam Mim - Rival of Merlin","Rise of the Floodborn","Floodborn, Villain, Sorcerer","Shift 3, Rush","Amethyst","",5,TRUE,"Character",2,"Rare","Shift 3 (You may play 3 {i} to play this on top of one of your characters named Madam Mim.)
Gruesome And Grim: {e} - Play a character with cost 4 or less for free. They gain Rush. At the end of the turn, banish them. (They can challenge the turn they're played)",5,2,NA
"253","Madam Mim - Snake","Rise of the Floodborn","Storyborn, Villain, Sorcerer",NA,"Amethyst","",2,TRUE,"Character",1,"Uncommon","Just You Wait: When you play this character, banish her or return another chosen character of yours to your hand.",3,3,NA
"254","Merlin - Crab","Rise of the Floodborn","Storyborn, Mentor, Sorcerer","Challenger +3","Amethyst","",3,TRUE,"Character",1,"Common","Ready Or Not!: When you play this character and when he leaves play, chosen characters gain Challenger +3 this turn. (They get +3 {s} while challenging.)",3,3,NA
"255","Merlin - Goat","Rise of the Floodborn","Storyborn, Mentor, Sorcerer",NA,"Amethyst","",4,TRUE,"Character",1,"Uncommon","Here I Come!: When you play this character and when he leaves play, gain 1 lore.",3,4,NA
"256","Merlin - Rabbit","Rise of the Floodborn","Storyborn, Mentor, Sorcerer",NA,"Amethyst","",4,FALSE,"Character",1,"Rare","Hoppity Hip!: When you play this character and when he leaves play, you may draw a card.",3,2,NA
"257","Merlin - Shapeshifter","Rise of the Floodborn","Storyborn, Mentor, Sorcerer",NA,"Amethyst","",4,TRUE,"Character",1,"Rare","Battle Of Wits: Whenever one of your other characters is returned to your hand from play, this characters get +1 {l} this turn.",5,1,NA
"258","Merlin - Squirrel","Rise of the Floodborn","Storyborn, Mentor, Sorcerer",NA,"Amethyst","",2,TRUE,"Character",1,"Common","Look Before You Leap: When you play this character and when he leaves play, look at the top card of your deck. Put it on either the top or the bottom of your deck.",1,2,NA
"259","Peter Pan's Shadow - Not Sewn On","Rise of the Floodborn","Storyborn, Ally","Evasive, Rush","Amethyst","",4,FALSE,"Character",2,"Super Rare","Evasive (Only characters with Evasive can challenge this character.)
Rush (This character can challenge the turn they're played.)
Tiptoe: Your other characters with Rush gain Evasive.",3,2,NA
"260","Pinocchio - Star Attraction","Rise of the Floodborn","Storyborn, Hero",NA,"Amethyst","",2,FALSE,"Character",3,"Rare",NA,1,1,NA
"261","Pinocchio - On The Run","Rise of the Floodborn","Floodborn, Hero","Shift 3","Amethyst","",5,FALSE,"Character",2,"Uncommon","Shift 3 (You pay 3 {i} to play this on top of one of your characters named Pinocchio.)
Listen To Your Conscience: When you play this character, you may return chosen character or item with cost 3 or less to their player's hand.",3,3,NA
"262","Pinocchio - Talkative Puppet","Rise of the Floodborn","Storyborn, Hero",NA,"Amethyst","",2,FALSE,"Character",1,"Uncommon","Telling Lies: When you play this character, you may exert chosen opposing character.",1,1,NA
"263","Winnie The Pooh - Hunny Wizard","Rise of the Floodborn","Dreamborn, Hero, Sorcerer",NA,"Amethyst","",5,TRUE,"Character",2,"Common",NA,5,5,NA
"264","Yzma - Scary Beyond All Reason","Rise of the Floodborn","Floodborn, Villain, Sorcerer","Shift 4","Amethyst","",6,TRUE,"Character",2,"Super Rare","Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Yzma)
Cruel Irony: When you play this character, shuffle another chosen character card into their player's deck. That player draws 2 cards.",4,4,NA
"265","Yzma - Without Beauty Sleep","Rise of the Floodborn","Storyborn, Villain, Sorcerer",NA,"Amethyst","",3,TRUE,"Character",1,"Uncommon",NA,4,3,NA
"266","Gruesome And Grim","Rise of the Floodborn",NA,"Rush","Amethyst","",3,FALSE,"Action - Song",NA,"Rare","(A character with cost 3 or more can {e} to sing this song for free.)
Play a character with cost 4 or less for free. They gain Rush. At the end of the turn, banish them. (They can challenge the turn they're played)",NA,NA,NA
"267","I'm Stuck!","Rise of the Floodborn",NA,NA,"Amethyst","",1,TRUE,"Action",NA,"Common","Chosen exerted character can't ready at the start of their next turn",NA,NA,NA
"268","Legend Of The Sword In The Stone","Rise of the Floodborn",NA,"Challenger +3","Amethyst","",2,TRUE,"Action - Song",NA,"Common","(A character with cost 2 or more can {e} to sing this song for free.)
Chosen character gains Challenger +3 this turn. (They get +3 {s} while challenging.)",NA,NA,NA
"269","Binding Contract","Rise of the Floodborn",NA,NA,"Amethyst","",4,FALSE,"Item",NA,"Uncommon","For All Eternity: {e}, {e} one of you character - Exert chosen character.",NA,NA,NA
"270","Croquet Mallet","Rise of the Floodborn",NA,"Rush","Amethyst","",1,FALSE,"Item",NA,"Common","Hurtling Hedgehog: Banish this item - Chosen character gains Rush this turn. (They can challenge the turn they're played.)",NA,NA,NA
"271","Perplexing Signposts","Rise of the Floodborn",NA,NA,"Amethyst","",2,FALSE,"Item",NA,"Rare","To Wonderland: Banish this item - Return chosen character of yours to your hand.",NA,NA,NA
"272","The Sorcerer's Spellbook","Rise of the Floodborn",NA,NA,"Amethyst","",3,FALSE,"Item",NA,"Rare","Knowledge: {e}, 1 {i} - Gain 1 lore.",NA,NA,NA
"273","Arthur - Trained Swordsman","Rise of the Floodborn","Dreamborn, Hero",NA,"Emerald","",4,TRUE,"Character",2,"Common",NA,3,4,NA
"274","Beast - Relentless","Rise of the Floodborn","Storyborn, Hero, Prince",NA,"Emerald","",6,TRUE,"Character",2,"Legendary","Second Wind: Whenever an opposing character is damaged, you may ready this character.",5,4,NA
"275","Belle - Bookworm","Rise of the Floodborn","Storyborn, Hero, Princess",NA,"Emerald","",3,FALSE,"Character",1,"Uncommon","Use Your Imagination: While an opponent has no cards in their hand, this character gets +2 {l}.",4,2,NA
"276","Belle - Hidden Archer","Rise of the Floodborn","Floodborn, Hero, Princess","Shift 3","Emerald","",5,FALSE,"Character",3,"Legendary","Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Belle.)
Thorny Arrows: Whenever this character is challenged, the challenging character's player discards all cards in their hand.",3,3,NA
"277","Bucky - Squirrel Squeak Tutor","Rise of the Floodborn","Storyborn, Ally","Ward","Emerald","",2,TRUE,"Character",1,"Uncommon","Ward (Opponents can't choose this character except to challenge.)
Squeak: Whenever you play a Floodborn character, each opponent chooses and discards a card.",1,1,NA
"278","Cheshire Cat - Always Grinning","Rise of the Floodborn","Storyborn",NA,"Emerald","",2,TRUE,"Character",1,"Uncommon",NA,2,3,NA
"279","Cheshire Cat - From the Shadows","Rise of the Floodborn","Floodborn","Shift 5, Evasive","Emerald","",8,TRUE,"Character",2,"Super Rare","Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Cheshire Cat.)
Evasive (Only characters with Evasive can challenge this character.)
Wicked Smile: {e} - Banish chosen damaged character.",6,5,NA
"280","Daisy Duck - Secret Agent","Rise of the Floodborn","Dreamborn, Ally",NA,"Emerald","",4,TRUE,"Character",2,"Uncommon","Thwart: Whenever this character quests, each opponent chooses and discards a card.",3,2,NA
"281","Donald Duck - Perfect Gentleman","Rise of the Floodborn","Floodborn, Ally","Shift 3","Emerald","",4,TRUE,"Character",2,"Uncommon","Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Donald Duck.)
Allow Me: At the start of your turn, each player may draw a card.",5,2,NA
"282","Donald Duck - Sleepwalker","Rise of the Floodborn","Storyborn",NA,"Emerald","",3,TRUE,"Character",1,"Common","Startled Awake: Whenever you play an action, this character gets +2 {s} this turn.",5,0,NA
"283","Dr. Facilier - Fortune Teller","Rise of the Floodborn","Storyborn, Villain, Sorcerer","Evasive","Emerald","",7,TRUE,"Character",3,"Super Rare","Evasive (Only characters with Evasive can challenge this character.)
You're In My World: Whenever this character quests, chosen opposing character can't quest during their next turn.",4,4,NA
"284","Enchantress - Unexpected Judge","Rise of the Floodborn","Dreamborn, Sorcerer",NA,"Emerald","",2,TRUE,"Character",2,"Common","True Form: While being challenged, this character gets +2 {s}.",1,1,NA
"285","Flynn Rider - Confident Vagabond","Rise of the Floodborn","Storyborn, Hero, Prince",NA,"Emerald","",1,TRUE,"Character",1,"Common",NA,3,1,NA
"286","Flynn Rider - His Own Biggest Fan","Rise of the Floodborn","Floodborn, Hero, Prince","Shift 2, Evasive","Emerald","",4,FALSE,"Character",4,"Rare","Shift 2 (You may 2 {i} to play this on top of one of your characters named Flynn Rider.)
Evasive (Only characters with Evasive can challenge this character.)
One Last, Big Score: This character gets -1 {l} for each card in your opponents' hands.",3,2,NA
"287","Gaston - Scheming Suitor","Rise of the Floodborn","Storyborn, Villain",NA,"Emerald","",2,TRUE,"Character",1,"Common","Yes, I'm Intimidating: While one or more opponents have no cards in their hands, this character gets +3 {s}.",3,1,NA
"288","Little John - Loyal Friend","Rise of the Floodborn","Storyborn, Ally",NA,"Emerald","",6,TRUE,"Character",2,"Rare",NA,6,6,NA
"289","Lucifer - Cunning Cat","Rise of the Floodborn","Storyborn, Ally",NA,"Emerald","",5,FALSE,"Character",2,"Rare","Mouse Catcher: When you play this character, each opponent chooses and discards either 2 cards or 1 action card.",2,2,NA
"290","Pain - Underworld Imp","Rise of the Floodborn","Storyborn, Ally",NA,"Emerald","",2,TRUE,"Character",2,"Uncommon","Coming, Your Most Lugubriousness: While this character has 5 {s} or more, he gets +2 {l}.",4,1,NA
"291","Panic - Underworld Imp","Rise of the Floodborn","Storyborn, Ally",NA,"Emerald","",3,FALSE,"Character",2,"Common","I Can Handle It: When you play this character, chosen character gets +2 {s} this turn. If the chosen character is named Pain, he gets +4 {s} instead.",3,2,NA
"292","Pete - Bad Guy","Rise of the Floodborn","Storyborn, Ally","Ward","Emerald","",5,TRUE,"Character",2,"Rare","Ward (Opponents can't choose this character except to challenge.)
Take That!: Whenever you play an action, this character gets +2 {s} this turn.
Who's Next?: While this character has 7 {s} or more, he gets +2 {l}.",4,3,NA
"293","Prince John - Greediest of All","Rise of the Floodborn","Dreamborn, Villain, Prince","Ward","Emerald","",3,FALSE,"Character",2,"Rare","Ward (Opponents can't choose this character except to challenge.)
I Sentence You: Whenever your opponents discards 1 or more cards, you may draw a card for each card discarded.",2,1,NA
"294","Queen Of Hearts - Quick-Tempered","Rise of the Floodborn","Dreamborn, Villain, Queen",NA,"Emerald","",2,FALSE,"Character",2,"Common","Royal Rage: When you play this character, deal 1 damage to chosen damaged opposing character.",2,1,NA
"295","Ratigan - Criminal Mastermind","Rise of the Floodborn","Dreamborn, Villain","Evasive","Emerald","",4,TRUE,"Character",2,"Common","Evasive (Only characters with Evasive can challenge this character.)",1,4,NA
"296","Ray - Easygoing Firefly","Rise of the Floodborn","Storyborn, Ally","Evasive","Emerald","",5,TRUE,"Character",3,"Common","Evasive (Only characters with Evasive can challenge this character.)",3,3,NA
"297","The Queen - Disguised Peddler","Rise of the Floodborn","Storyborn, Villain, Queen",NA,"Emerald","",3,FALSE,"Character",0,"Super Rare","A Perfect Disguise: {e}, Choose and discard a character card - Gain lore equal to the discarded character's {l}.",3,2,NA
"298","Tiana - True Princess","Rise of the Floodborn","Storyborn, Hero, Princess",NA,"Emerald","",5,TRUE,"Character",3,"Uncommon",NA,3,5,NA
"299","Virana - Fang Chief","Rise of the Floodborn","Storyborn, Villain, Queen",NA,"Emerald","",5,TRUE,"Character",2,"Common",NA,5,5,NA
"300","Bibbidi Bobbidi Boo","Rise of the Floodborn",NA,NA,"Emerald","",3,FALSE,"Action - Song",NA,"Rare","(A character with cost 3 or more can {e} to sing this song for free.)
Return chosen character of your to your hand to play another character with the same cost or less for free.",NA,NA,NA
"301","Bounce","Rise of the Floodborn",NA,NA,"Emerald","",2,FALSE,"Action",NA,"Uncommon","Return chosen character of yours to your hand to return another chosen character to their player's hand.",NA,NA,NA
"302","Hypnotize","Rise of the Floodborn",NA,NA,"Emerald","",3,TRUE,"Action",NA,"Common","Each Opponent chooses and discards a card. Draw a card.",NA,NA,NA
"303","Improvise","Rise of the Floodborn",NA,NA,"Emerald","",1,TRUE,"Action",NA,"Common","Chosen Character gets +1 {s} this turn. Draw a card.",NA,NA,NA
"304","Pack Tactics","Rise of the Floodborn",NA,NA,"Emerald","",4,TRUE,"Action",NA,"Rare","Gain 1 lore for each damaged character opponents have in play.",NA,NA,NA
"305","Ring The Bell","Rise of the Floodborn",NA,NA,"Emerald","",3,TRUE,"Action",NA,"Uncommon","Banish chosen damaged character.",NA,NA,NA
"306","Ratigan's Marvelous Trap","Rise of the Floodborn",NA,NA,"Emerald","",3,FALSE,"Item",NA,"Rare","Snap! Boom! Twang!: Banish this item - Each opponent loses 2 lore.",NA,NA,NA
"307","Baloo - Fun-Loving Bear","Rise of the Floodborn","Storyborn, Ally",NA,"Ruby","",3,TRUE,"Character",1,"Common",NA,3,4,NA
"308","Boun - Precocious Entrepreneur","Rise of the Floodborn","Storyborn, Ally",NA,"Ruby","",2,TRUE,"Character",1,"Common",NA,3,2,NA
"309","Card Soldiers - Full Deck","Rise of the Floodborn","Storyborn, Ally",NA,"Ruby","",5,TRUE,"Character",2,"Uncommon",NA,5,5,NA
"310","Donald Duck - Not Again!","Rise of the Floodborn","Dreamborn, Hero","Evasive","Ruby","",5,TRUE,"Character",1,"Legendary","Evasive (Only characters with Evasive can challenge this character.)  Phooey!: This character gets +1 {l} for each 1 damage on him.",5,1,NA
"311","Felicia - Always Hungry","Rise of the Floodborn","Dreamborn, Ally","Reckless","Ruby","",1,TRUE,"Character",0,"Common","Reckless (This character can't quest and must challenge each turn if able.)",1,3,NA
"312","Fidget - Ratigan's Henchman","Rise of the Floodborn","Dreamborn, Ally","Evasive","Ruby","",3,TRUE,"Character",1,"Common","Evasive (Only characters with Evasive can challenge this character.)
",2,3,NA
"313","Honest John - Not That Honest","Rise of the Floodborn","Storyborn, Villain",NA,"Ruby","",3,FALSE,"Character",1,"Rare","Easy Street - Whenever you play a Floodborn character, each opponent loses 1 lore.",3,2,NA
"314","Lady Tremaine - Imperious Queen","Rise of the Floodborn","Floodborn, Villain, Queen","Shift 4","Ruby","",6,FALSE,"Character",2,"Super Rare","Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Lady Tremaine.)

Power To Rule At Last - When you play this character, each opponent chooses and banishes one of their characters.",4,3,NA
"315","Lady Tremaine - Overbearing Matriarch","Rise of the Floodborn","Storyborn, Villain",NA,"Ruby","",2,FALSE,"Character",1,"Common","Not For You - When you play this character, each opponent with more lore than you loses 1 lore.",2,2,NA
"316","Lumiere - Hotheaded Candelabra","Rise of the Floodborn","Dreamborn, Ally",NA,"Ruby","",7,TRUE,"Character",2,"Rare",NA,7,7,NA
"317","Minnie Mouse - Stylish Surfer","Rise of the Floodborn","Dreamborn, Hero","Evasive","Ruby","",3,TRUE,"Character",2,"Uncommon","Evasive (Only characters with Evasive can challenge this character.)",3,1,NA
"318","Minnie Mouse - Wide-Eyed Diver","Rise of the Floodborn","Floodborn, Hero","Shift 2, Evasive","Ruby","",4,TRUE,"Character",1,"Rare","Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Minnie Mouse.)
Evasive (Only Characters with Evasive can challenge this character.)
Undersea Adventure: Whenever you play a second action in a turn, this character gets +2 {l} this turn.",3,2,NA
"319","Minnie Mouse - Zipping Around","Rise of the Floodborn","Storyborn, Hero",NA,"Ruby","",2,TRUE,"Character",2,"Common",NA,2,3,NA
"320","Mother Gothel - Withered And Wicked","Rise of the Floodborn","Storyborn, Villain",NA,"Ruby","",2,TRUE,"Character",1,"Uncommon","What Have You Done?!: This character enters play with 3 damage.",4,3,NA
"321","Mulan - Soldier In Training","Rise of the Floodborn","Storyborn, Hero, Princess","Rush","Ruby","",4,FALSE,"Character",1,"Common","Rush (This character can challenge the turn they're played.)",3,4,NA
"322","Namaari - Nemesis","Rise of the Floodborn","Storyborn, Villain, Princess",NA,"Ruby","",4,FALSE,"Character",1,"Super Rare","This Shouldn't Take Long: {e}, Banish this character - Banish chosen character.",3,3,NA
